Character	Radical	Rad. nr.	Plus strokes	Total strokes	Rank	Freq. abs.	Freq. Rel.	Pronounc. nr.
就	尢	43	9	12	18	5	0.0042	1
下	一	1	2	3	18	5	0.0042	1
好	女	38	3	6	18	5	0.0042	2
家	宀	40	7	10	18	5	0.0042	3
腳	肉	130	9	13	18	5	0.0042	2
中	丨	2	3	4	19	4	0.0034	2
地	土	32	3	6	19	4	0.0034	2
可	口	30	2	5	19	4	0.0034	2
和	口	30	5	8	19	4	0.0034	4
走	走	156	0	7	19	4	0.0034	1
心	心	61	0	4	19	4	0.0034	1
以	人	9	3	5	19	4	0.0034	1
越	走	156	5	12	19	4	0.0034	2
路	足	157	6	13	19	4	0.0034	2
媽	女	38	10	13	19	4	0.0034	1
三	一	1	2	3	19	4	0.0034	2
石	石	112	0	5	19	4	0.0034	2
回	囗	31	3	6	19	4	0.0034	1
哪	口	30	7	10	19	4	0.0034	4
血	血	143	0	6	19	4	0.0034	2
呆	口	30	4	7	19	4	0.0034	2
些	二	7	5	7	19	4	0.0034	3
涼	水	85	8	11	19	4	0.0034	2
痛	疒	104	7	12	20	3	0.0025	1
覺	見	147	13	20	20	3	0.0025	2
為	火	86	5	9	20	3	0.0025	2
十	十	24	0	2	20	3	0.0025	1
東	木	75	4	8	20	3	0.0025	1
叫	口	30	2	5	20	3	0.0025	1
年	干	51	3	6	20	3	0.0025	1
呢	口	30	5	8	20	3	0.0025	2
錢	金	167	8	16	20	3	0.0025	2
要	襾	146	3	9	20	3	0.0025	3
面	面	176	0	9	20	3	0.0025	1
燈	火	86	12	16	20	3	0.0025	1
再	冂	13	4	6	20	3	0.0025	1
時	日	72	6	10	20	3	0.0025	1
白	白	106	0	5	20	3	0.0025	2
拉	手	64	5	8	20	3	0.0025	4
見	見	147	0	7	20	3	0.0025	2
頭	頁	181	7	16	20	3	0.0025	2
安	宀	40	3	6	20	3	0.0025	1
亮	亠	8	7	9	20	3	0.0025	1
颼	風	182	10	19	20	3	0.0025	1
事	亅	6	7	8	20	3	0.0025	1
聲	耳	128	11	17	20	3	0.0025	1
門	門	169	0	8	20	3	0.0025	1
帶	巾	50	8	11	20	3	0.0025	1
話	言	149	6	13	20	3	0.0025	1
全	入	11	4	6	20	3	0.0025	1
別	刀	18	5	7	20	3	0.0025	1
輛	車	159	8	15	20	3	0.0025	1
破	石	112	5	10	20	3	0.0025	1
藥	艸	140	15	21	20	3	0.0025	4
被	衣	145	5	11	20	3	0.0025	4
斷	斤	69	14	18	20	3	0.0025	1
北	匕	21	3	5	20	3	0.0025	2
乾	乙	5	10	11	20	3	0.0025	2
微	彳	60	10	13	20	3	0.0025	2
買	貝	154	5	12	20	3	0.0025	1
象	豕	152	5	12	20	3	0.0025	1
木	木	75	0	4	20	3	0.0025	1
摸	手	64	11	14	20	3	0.0025	2
輪	車	159	8	15	20	3	0.0025	1
臉	肉	130	13	17	20	3	0.0025	1
似	人	9	5	7	20	3	0.0025	2
後	彳	60	6	9	20	3	0.0025	1
動	力	19	9	11	20	3	0.0025	1
前	刀	18	7	9	20	3	0.0025	1
裡	衣	145	7	13	20	3	0.0025	1
手	手	64	0	4	20	3	0.0025	1
進	辵	162	8	12	20	3	0.0025	1
經	糸	120	7	13	20	3	0.0025	2
說	言	149	7	14	21	2	0.0017	4
氣	气	84	6	10	21	2	0.0017	2
記	言	149	3	10	21	2	0.0017	1
右	口	30	2	5	21	2	0.0017	1
離	隹	172	11	19	21	2	0.0017	5
算	竹	118	8	14	21	2	0.0017	1
意	心	61	9	13	21	2	0.0017	1
二	二	7	0	2	21	2	0.0017	1
節	竹	118	7	13	21	2	0.0017	2
望	月	74	7	11	21	2	0.0017	1
大	大	37	0	3	21	2	0.0017	3
急	心	61	5	9	21	2	0.0017	1
都	邑	163	9	12	21	2	0.0017	2
彈	弓	57	12	15	21	2	0.0017	2
黑	黑	203	0	12	21	2	0.0017	2
吹	口	30	4	7	21	2	0.0017	2
響	音	180	11	20	21	2	0.0017	1
忘	心	61	3	6	21	2	0.0017	2
輕	車	159	7	14	21	2	0.0017	2
嚇	口	30	14	17	21	2	0.0017	2
折	手	64	4	7	21	2	0.0017	3
由	田	102	0	5	21	2	0.0017	2
聽	耳	128	16	22	21	2	0.0017	2
小	小	42	0	3	21	2	0.0017	1
死	歹	78	2	6	21	2	0.0017	1
街	行	144	6	12	21	2	0.0017	1
個	人	9	8	10	21	2	0.0017	2
凈	冫	15	8	10	21	2	0.0017	1
步	止	77	3	7	21	2	0.0017	1
晚	日	72	7	11	21	2	0.0017	1
常	巾	50	8	11	21	2	0.0017	1
秋	禾	115	4	9	21	2	0.0017	1
希	巾	50	4	7	21	2	0.0017	1
只	口	30	2	5	21	2	0.0017	2
至	至	133	0	6	21	2	0.0017	2
插	手	64	9	12	21	2	0.0017	1
光	儿	10	4	6	21	2	0.0017	1
馬	馬	187	0	10	21	2	0.0017	1
長	長	168	0	8	21	2	0.0017	3
紅	糸	120	3	9	21	2	0.0017	3
半	十	24	3	5	21	2	0.0017	1
睡	目	109	8	13	21	2	0.0017	1
處	虍	141	5	11	21	2	0.0017	2
乎	丿	4	4	5	21	2	0.0017	2
同	口	30	3	6	21	2	0.0017	2
樣	木	75	11	15	21	2	0.0017	2
放	攴	66	4	8	21	2	0.0017	2
新	斤	69	9	13	21	2	0.0017	1
遠	辵	162	10	14	21	2	0.0017	2
靜	靑	174	8	16	21	2	0.0017	1
慢	心	61	11	14	21	2	0.0017	1
皮	皮	107	0	5	21	2	0.0017	1
西	襾	146	0	6	21	2	0.0017	1
汗	水	85	3	6	21	2	0.0017	3
老	老	125	0	6	21	2	0.0017	1
能	肉	130	6	10	21	2	0.0017	6
道	辵	162	9	13	21	2	0.0017	2
情	心	61	8	11	21	2	0.0017	1
過	辵	162	9	13	21	2	0.0017	4
直	目	109	3	8	21	2	0.0017	1
會	曰	73	9	13	21	2	0.0017	3
邊	辵	162	15	19	21	2	0.0017	1
吧	口	30	4	7	21	2	0.0017	2
卸	卩	26	6	8	22	1	0.0008	1
勁	力	19	7	9	22	1	0.0008	2
透	辵	162	7	11	22	1	0.0008	2
扣	手	64	3	6	22	1	0.0008	1
莫	艸	140	7	13	22	1	0.0008	2
幾	幺	52	9	12	22	1	0.0008	2
很	彳	60	6	9	22	1	0.0008	1
解	角	148	6	13	22	1	0.0008	3
立	立	117	0	5	22	1	0.0008	2
們	人	9	8	10	22	1	0.0008	1
複	衣	145	9	15	22	1	0.0008	1
摻	手	64	11	14	22	1	0.0008	5
暫	日	72	11	15	22	1	0.0008	1
秸	禾	115	6	11	22	1	0.0008	2
哭	口	30	7	10	22	1	0.0008	1
林	木	75	4	8	22	1	0.0008	1
僕	人	9	12	14	22	1	0.0008	1
跟	足	157	6	13	22	1	0.0008	1
幹	干	51	10	13	22	1	0.0008	2
錯	金	167	8	16	22	1	0.0008	3
咯	口	30	6	9	22	1	0.0008	3
方	方	70	0	4	22	1	0.0008	4
怕	心	61	5	8	22	1	0.0008	1
秫	禾	115	5	10	22	1	0.0008	2
女	女	38	0	3	22	1	0.0008	2
裳	衣	145	8	14	22	1	0.0008	2
即	卩	26	5	7	22	1	0.0008	1
婦	女	38	8	11	22	1	0.0008	1
主	丶	3	4	5	22	1	0.0008	1
切	刀	18	2	4	22	1	0.0008	3
飛	飛	183	0	9	22	1	0.0008	1
今	人	9	2	4	22	1	0.0008	1
重	里	166	2	9	22	1	0.0008	3
站	立	117	5	10	22	1	0.0008	2
穿	穴	116	4	9	22	1	0.0008	1
遮	辵	162	11	15	22	1	0.0008	1
憋	心	61	12	16	22	1	0.0008	1
正	止	77	1	5	22	1	0.0008	2
其	八	12	6	8	22	1	0.0008	2
呀	口	30	4	7	22	1	0.0008	2
嫌	女	38	10	13	22	1	0.0008	1
音	音	180	0	9	22	1	0.0008	2
始	女	38	5	8	22	1	0.0008	1
紙	糸	120	4	10	22	1	0.0008	1
碰	石	112	8	14	22	1	0.0008	1
張	弓	57	8	11	22	1	0.0008	2
月	月	74	0	4	22	1	0.0008	1
收	攴	66	2	6	22	1	0.0008	1
截	戈	62	10	14	22	1	0.0008	1
思	心	61	5	9	22	1	0.0008	3
教	攴	66	7	11	22	1	0.0008	2
流	水	85	6	9	22	1	0.0008	1
顯	頁	181	14	23	22	1	0.0008	1
疼	疒	104	5	10	22	1	0.0008	1
陣	阜	170	7	10	22	1	0.0008	1
換	手	64	9	12	22	1	0.0008	1
名	口	30	3	6	22	1	0.0008	1
爽	爻	89	7	11	22	1	0.0008	2
胸	肉	130	6	10	22	1	0.0008	1
瞧	目	109	12	17	22	1	0.0008	1
麻	麻	200	0	11	22	1	0.0008	2
阻	阜	170	5	8	22	1	0.0008	2
漆	水	85	11	14	22	1	0.0008	1
鈕	金	167	4	12	22	1	0.0008	2
段	殳	79	5	9	22	1	0.0008	1
顧	頁	181	12	21	22	1	0.0008	1
繞	糸	120	12	18	22	1	0.0008	2
管	竹	118	8	14	22	1	0.0008	1
歲	止	77	9	13	22	1	0.0008	1
跌	足	157	5	12	22	1	0.0008	3
身	身	158	0	7	22	1	0.0008	3
稈	禾	115	7	12	22	1	0.0008	1
從	彳	60	8	11	22	1	0.0008	4
使	人	9	6	8	22	1	0.0008	2
細	糸	120	5	11	22	1	0.0008	1
房	戶	63	4	8	22	1	0.0008	2
衣	衣	145	0	6	22	1	0.0008	2
洞	水	85	6	9	22	1	0.0008	2
眼	目	109	6	11	22	1	0.0008	2
外	夕	36	2	5	22	1	0.0008	1
堆	土	32	8	11	22	1	0.0008	1
階	阜	170	9	12	22	1	0.0008	1
歡	欠	76	18	22	22	1	0.0008	1
叨	口	30	2	5	22	1	0.0008	2
雙	隹	172	10	18	22	1	0.0008	1
住	人	9	5	7	22	1	0.0008	1
藏	艸	140	14	20	22	1	0.0008	3
跳	足	157	6	13	22	1	0.0008	4
擦	手	64	14	17	22	1	0.0008	1
倒	人	9	8	10	22	1	0.0008	2
利	刀	18	5	7	22	1	0.0008	1
初	刀	18	5	7	22	1	0.0008	1
攙	手	64	17	20	22	1	0.0008	1
輩	車	159	8	15	22	1	0.0008	1
條	木	75	7	11	22	1	0.0008	1
少	小	42	1	4	22	1	0.0008	2
概	木	75	9	13	22	1	0.0008	3
喳	口	30	9	12	22	1	0.0008	2
感	心	61	9	13	22	1	0.0008	1
傷	人	9	11	13	22	1	0.0008	1
忙	心	61	3	7	22	1	0.0008	1
調	言	149	8	15	22	1	0.0008	4
敢	攴	66	8	12	22	1	0.0008	1
簧	竹	118	12	18	22	1	0.0008	1
既	无	71	5	9	22	1	0.0008	2
便	人	9	7	9	22	1	0.0008	2
合	口	30	3	6	22	1	0.0008	2
永	水	85	1	5	22	1	0.0008	1
爬	爪	87	4	8	22	1	0.0008	1
口	口	30	0	3	22	1	0.0008	1
城	土	32	7	9	22	1	0.0008	1
仿	人	9	4	6	22	1	0.0008	2
件	人	9	4	6	22	1	0.0008	1
雜	隹	172	10	18	22	1	0.0008	1
難	隹	172	11	19	22	1	0.0008	3
問	口	30	8	11	22	1	0.0008	1
補	衣	145	7	13	22	1	0.0008	1
佛	人	9	5	7	22	1	0.0008	2
連	辵	162	7	11	22	1	0.0008	4
裹	衣	145	8	14	22	1	0.0008	1
轉	車	159	11	18	22	1	0.0008	2
寡	宀	40	11	14	22	1	0.0008	1
喲	口	30	9	12	22	1	0.0008	1
所	戶	63	4	8	22	1	0.0008	1
然	火	86	8	12	22	1	0.0008	1
原	厂	27	8	10	22	1	0.0008	2
悶	心	61	8	12	22	1	0.0008	2
及	又	29	2	4	22	1	0.0008	1
於	方	70	4	8	22	1	0.0008	3
平	干	51	2	5	22	1	0.0008	1
釘	金	167	2	10	22	1	0.0008	3
栽	木	75	6	10	22	1	0.0008	2
慮	心	61	11	15	22	1	0.0008	1
日	日	72	0	4	22	1	0.0008	2
膝	肉	130	11	15	22	1	0.0008	1
槐	木	75	10	14	22	1	0.0008	1
知	矢	111	3	8	22	1	0.0008	2
院	阜	170	7	10	22	1	0.0008	1
添	水	85	8	11	22	1	0.0008	2
剩	刀	18	10	12	22	1	0.0008	1
肘	肉	130	3	7	22	1	0.0008	1
糊	米	119	9	15	22	1	0.0008	3
蛋	虫	142	5	11	22	1	0.0008	1
落	艸	140	9	15	22	1	0.0008	4
非	非	175	0	8	22	1	0.0008	2
扯	手	64	4	7	22	1	0.0008	1
興	臼	134	9	15	22	1	0.0008	2
禿	禾	115	2	7	22	1	0.0008	1
鎮	金	167	10	18	22	1	0.0008	3
止	止	77	0	4	22	1	0.0008	1
珠	玉	96	6	10	22	1	0.0008	1
剛	刀	18	8	10	22	1	0.0008	1
渺	水	85	9	12	22	1	0.0008	1
隨	阜	170	13	16	22	1	0.0008	1
點	黑	203	5	17	22	1	0.0008	3
仔	人	9	3	5	22	1	0.0008	2
妙	女	38	4	7	22	1	0.0008	1
明	日	72	4	8	22	1	0.0008	1
神	示	113	5	10	22	1	0.0008	2
嶄	山	46	11	14	22	1	0.0008	1
纏	糸	120	15	21	22	1	0.0008	1
包	勹	20	3	5	22	1	0.0008	1
與	臼	134	8	14	22	1	0.0008	3
許	言	149	4	11	22	1	0.0008	2
往	彳	60	5	8	22	1	0.0008	2
而	而	126	0	6	22	1	0.0008	2
用	用	101	0	5	22	1	0.0008	1
腰	肉	130	9	13	22	1	0.0008	1
作	人	9	5	7	22	1	0.0008	3
計	言	149	2	9	22	1	0.0008	1
定	宀	40	5	8	22	1	0.0008	1
注	水	85	5	8	22	1	0.0008	2
脆	肉	130	6	10	22	1	0.0008	1
間	門	169	4	12	22	1	0.0008	3
電	雨	173	5	13	22	1	0.0008	1
句	口	30	2	5	22	1	0.0008	2
現	玉	96	7	11	22	1	0.0008	1
簡	竹	118	12	18	22	1	0.0008	1
必	心	61	1	4	22	1	0.0008	1
滿	水	85	11	14	22	1	0.0008	2
將	寸	41	8	11	22	1	0.0008	3
弓	弓	57	0	3	22	1	0.0008	1
拿	手	64	6	10	22	1	0.0008	1
漂	水	85	11	14	22	1	0.0008	4
給	糸	120	6	12	22	1	0.0008	3
眉	目	109	4	9	22	1	0.0008	1
根	木	75	6	10	22	1	0.0008	1
露	雨	173	12	20	22	1	0.0008	2
嘮	口	30	12	15	22	1	0.0008	1
敞	攴	66	8	12	22	1	0.0008	1
鬼	鬼	194	0	10	22	1	0.0008	1
摔	手	64	11	14	22	1	0.0008	1
溜	水	85	10	13	22	1	0.0008	3
書	曰	73	6	10	22	1	0.0008	1
茫	艸	140	6	12	22	1	0.0008	2
喜	口	30	9	12	22	1	0.0008	1
害	宀	40	7	10	22	1	0.0008	2
牆	爿	90	13	17	22	1	0.0008	1
腿	肉	130	10	14	22	1	0.0008	1


Radical frequency per type
rad	rad. nr.	rank	f abs.	f rel.
口	30	1	25	0.0643
人	9	2	21	0.0540
心	61	3	17	0.0437
手	64	4	14	0.0360
水	85	5	13	0.0334
辵	162	6	10	0.0257
木	75	7	9	0.0231
肉	130	7	9	0.0231
刀	18	8	8	0.0206
女	38	8	8	0.0206
糸	120	9	7	0.0180
衣	145	9	7	0.0180
艸	140	10	6	0.0154
日	72	10	6	0.0154
言	149	10	6	0.0154
目	109	10	6	0.0154
土	32	10	6	0.0154
車	159	10	6	0.0154
彳	60	10	6	0.0154
一	1	11	5	0.0129
攴	66	11	5	0.0129
金	167	11	5	0.0129
阜	170	11	5	0.0129
足	157	11	5	0.0129
禾	115	11	5	0.0129
竹	118	11	5	0.0129
宀	40	11	5	0.0129
石	112	12	4	0.0103
止	77	12	4	0.0103
隹	172	12	4	0.0103
大	37	13	3	0.0077
月	74	13	3	0.0077
弓	57	13	3	0.0077
曰	73	13	3	0.0077
干	51	13	3	0.0077
巾	50	13	3	0.0077
走	156	13	3	0.0077
火	86	13	3	0.0077
頁	181	13	3	0.0077
門	169	13	3	0.0077
儿	10	13	3	0.0077
雨	173	14	2	0.0051
力	19	14	2	0.0051
己	49	14	2	0.0051
亅	6	14	2	0.0051
斤	69	14	2	0.0051
方	70	14	2	0.0051
玉	96	14	2	0.0051
十	24	14	2	0.0051
示	113	14	2	0.0051
乙	5	14	2	0.0051
音	180	14	2	0.0051
又	29	14	2	0.0051
疒	104	14	2	0.0051
戶	63	14	2	0.0051
風	182	14	2	0.0051
麻	200	14	2	0.0051
襾	146	14	2	0.0051
見	147	14	2	0.0051
臼	134	14	2	0.0051
入	11	14	2	0.0051
立	117	14	2	0.0051
黑	203	14	2	0.0051
白	106	14	2	0.0051
戈	62	14	2	0.0051
二	7	14	2	0.0051
耳	128	14	2	0.0051
邑	163	14	2	0.0051
小	42	14	2	0.0051
夕	36	14	2	0.0051
卩	26	14	2	0.0051
丿	4	15	1	0.0026
气	84	15	1	0.0026
厂	27	15	1	0.0026
至	133	15	1	0.0026
生	100	15	1	0.0026
田	102	15	1	0.0026
用	101	15	1	0.0026
矢	111	15	1	0.0026
虫	142	15	1	0.0026
虍	141	15	1	0.0026
米	119	15	1	0.0026
无	71	15	1	0.0026
長	168	15	1	0.0026
馬	187	15	1	0.0026
自	132	15	1	0.0026
里	166	15	1	0.0026
山	46	15	1	0.0026
血	143	15	1	0.0026
爪	87	15	1	0.0026
豕	152	15	1	0.0026
幺	52	15	1	0.0026
勹	20	15	1	0.0026
囗	31	15	1	0.0026
鬼	194	15	1	0.0026
匕	21	15	1	0.0026
冫	15	15	1	0.0026
身	158	15	1	0.0026
尢	43	15	1	0.0026
凵	17	15	1	0.0026
歹	78	15	1	0.0026
高	189	15	1	0.0026
丶	3	15	1	0.0026
丨	2	15	1	0.0026
子	39	15	1	0.0026
面	176	15	1	0.0026
冂	13	15	1	0.0026
非	175	15	1	0.0026
行	144	15	1	0.0026
欠	76	15	1	0.0026
亠	8	15	1	0.0026
爻	89	15	1	0.0026
皮	107	15	1	0.0026
爿	90	15	1	0.0026
角	148	15	1	0.0026
穴	116	15	1	0.0026
寸	41	15	1	0.0026
靑	174	15	1	0.0026
厶	28	15	1	0.0026
殳	79	15	1	0.0026
老	125	15	1	0.0026
飛	183	15	1	0.0026
而	126	15	1	0.0026
貝	154	15	1	0.0026
八	12	15	1	0.0026


Radical frequency per token (occurrences of radicals in occurrences of characters)
rad	rad. nr.	rank	f abs.	f rel.
人	9	1	82	0.2108
一	1	2	67	0.1722
白	106	3	53	0.1362
口	30	4	47	0.1208
心	61	5	43	0.1105
亅	6	6	41	0.1054
儿	10	7	29	0.0746
手	64	7	29	0.0746
土	32	8	28	0.0720
辵	162	9	27	0.0694
艸	140	10	26	0.0668
日	72	10	26	0.0668
水	85	10	26	0.0668
車	159	11	24	0.0617
子	39	12	22	0.0566
刀	18	13	21	0.0540
女	38	13	21	0.0540
示	113	14	20	0.0514
足	157	15	18	0.0463
月	74	16	17	0.0437
目	109	16	17	0.0437
曰	73	16	17	0.0437
生	100	17	16	0.0411
肉	130	17	16	0.0411
走	156	17	16	0.0411
彳	60	18	15	0.0386
石	112	19	14	0.0360
木	75	19	14	0.0360
大	37	20	13	0.0334
己	49	21	12	0.0308
麻	200	21	12	0.0308
凵	17	22	11	0.0283
衣	145	22	11	0.0283
宀	40	22	11	0.0283
言	149	23	10	0.0257
糸	120	23	10	0.0257
乙	5	23	10	0.0257
門	169	24	9	0.0231
入	11	24	9	0.0231
厶	28	24	9	0.0231
風	182	25	8	0.0206
邑	163	25	8	0.0206
金	167	26	7	0.0180
巾	50	26	7	0.0180
火	86	26	7	0.0180
又	29	26	7	0.0180
竹	118	26	7	0.0180
夕	36	26	7	0.0180
攴	66	27	6	0.0154
自	132	27	6	0.0154
禾	115	27	6	0.0154
見	147	27	6	0.0154
戈	62	27	6	0.0154
二	7	27	6	0.0154
斤	69	28	5	0.0129
止	77	28	5	0.0129
隹	172	28	5	0.0129
干	51	28	5	0.0129
十	24	28	5	0.0129
阜	170	28	5	0.0129
尢	43	28	5	0.0129
高	189	28	5	0.0129
頁	181	28	5	0.0129
襾	146	28	5	0.0129
耳	128	28	5	0.0129
力	19	29	4	0.0103
弓	57	29	4	0.0103
血	143	29	4	0.0103
囗	31	29	4	0.0103
丨	2	29	4	0.0103
疒	104	29	4	0.0103
豕	152	30	3	0.0077
匕	21	30	3	0.0077
音	180	30	3	0.0077
面	176	30	3	0.0077
冂	13	30	3	0.0077
亠	8	30	3	0.0077
黑	203	30	3	0.0077
貝	154	30	3	0.0077
小	42	30	3	0.0077
雨	173	31	2	0.0051
丿	4	31	2	0.0051
气	84	31	2	0.0051
至	133	31	2	0.0051
田	102	31	2	0.0051
虍	141	31	2	0.0051
方	70	31	2	0.0051
長	168	31	2	0.0051
馬	187	31	2	0.0051
玉	96	31	2	0.0051
冫	15	31	2	0.0051
歹	78	31	2	0.0051
戶	63	31	2	0.0051
行	144	31	2	0.0051
皮	107	31	2	0.0051
臼	134	31	2	0.0051
立	117	31	2	0.0051
靑	174	31	2	0.0051
老	125	31	2	0.0051
卩	26	31	2	0.0051
厂	27	32	1	0.0026
用	101	32	1	0.0026
矢	111	32	1	0.0026
虫	142	32	1	0.0026
米	119	32	1	0.0026
无	71	32	1	0.0026
里	166	32	1	0.0026
山	46	32	1	0.0026
爪	87	32	1	0.0026
幺	52	32	1	0.0026
勹	20	32	1	0.0026
鬼	194	32	1	0.0026
身	158	32	1	0.0026
丶	3	32	1	0.0026
非	175	32	1	0.0026
欠	76	32	1	0.0026
爻	89	32	1	0.0026
爿	90	32	1	0.0026
角	148	32	1	0.0026
穴	116	32	1	0.0026
寸	41	32	1	0.0026
殳	79	32	1	0.0026
飛	183	32	1	0.0026
而	126	32	1	0.0026
八	12	32	1	0.0026


Tokens	Types	Ratio	Note
1184	389	3.04	Type / Token ratio
8.45	10.00		Average Strokes
8	10		Median Strokes
125	125		Number of radicals
